Tipo,Ordem,Porcentagem,Tamanho,Rotacoes,Merges,Altura,Blocos
Remocao,crescente_10000,10%,10000,1397,2664,9,7324
Remocao,crescente_10000,20%,10000,2698,3966,9,6022
Remocao,crescente_10000,35%,10000,4377,5346,9,4642
Remocao,crescente_10000,50%,10000,6224,6469,8,3518
Remocao,decrescente_10000,10%,10000,1473,2679,9,7309
Remocao,decrescente_10000,20%,10000,2611,4003,9,5985
Remocao,decrescente_10000,35%,10000,4348,5362,9,4626
Remocao,decrescente_10000,50%,10000,6100,6524,8,3463
Remocao,rand_10000_test1,10%,10000,1262,489,9,5164
Remocao,rand_10000_test2,10%,10000,1228,485,9,5218
Remocao,rand_10000_test3,10%,10000,1292,486,9,5229
Remocao,rand_10000_test4,10%,10000,1368,470,9,5199
Remocao,rand_10000_test5,10%,10000,1303,513,9,5201
Remocao,rand_10000_test6,10%,10000,1413,480,9,5206
Remocao,rand_10000_test7,10%,10000,1259,472,9,5208
Remocao,rand_10000_test8,10%,10000,1218,472,9,5174
Remocao,rand_10000_test9,10%,10000,1157,486,9,5189
Remocao,rand_10000_test10,10%,10000,1193,489,9,5197
Remocao,rand_10000_test1,20%,10000,2452,818,8,4834
Remocao,rand_10000_test2,20%,10000,2479,806,9,4897
Remocao,rand_10000_test3,20%,10000,2525,820,9,4895
Remocao,rand_10000_test4,20%,10000,2350,773,9,4896
Remocao,rand_10000_test5,20%,10000,2615,834,9,4880
Remocao,rand_10000_test6,20%,10000,2499,811,9,4875
Remocao,rand_10000_test7,20%,10000,2260,784,9,4896
Remocao,rand_10000_test8,20%,10000,2454,789,8,4856
Remocao,rand_10000_test9,20%,10000,2457,803,9,4872
Remocao,rand_10000_test10,20%,10000,2406,786,9,4900
Remocao,rand_10000_test1,35%,10000,3828,1427,8,4225
Remocao,rand_10000_test2,35%,10000,4266,1488,8,4214
Remocao,rand_10000_test3,35%,10000,3512,1488,8,4226
Remocao,rand_10000_test4,35%,10000,3291,1431,8,4237
Remocao,rand_10000_test5,35%,10000,3999,1490,8,4223
Remocao,rand_10000_test6,35%,10000,3880,1451,8,4234
Remocao,rand_10000_test7,35%,10000,4377,1446,8,4233
Remocao,rand_10000_test8,35%,10000,4293,1405,9,4241
Remocao,rand_10000_test9,35%,10000,3911,1444,8,4230
Remocao,rand_10000_test10,35%,10000,4426,1459,9,4227
Remocao,rand_10000_test1,50%,10000,5200,2248,8,3404
Remocao,rand_10000_test2,50%,10000,5929,2304,8,3398
Remocao,rand_10000_test3,50%,10000,5400,2330,8,3384
Remocao,rand_10000_test4,50%,10000,5693,2259,8,3409
Remocao,rand_10000_test5,50%,10000,4369,2308,8,3405
Remocao,rand_10000_test6,50%,10000,5111,2287,8,3398
Remocao,rand_10000_test7,50%,10000,4826,2299,8,3380
Remocao,rand_10000_test8,50%,10000,6243,2244,8,3401
Remocao,rand_10000_test9,50%,10000,5520,2283,8,3391
Remocao,rand_10000_test10,50%,10000,6026,2255,8,3430
